OBJECTID,NAME_2,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
145,Berrien,145,3964,0.275277775576000,0,62,62,15.011604439999999,15.061339987200000,59506.000000000000000,60,0,4,10
146,Bertie,146,2632,0.182777776316000,0,57,57,5.155775075990000,6.390358078770000,13570.000000000000000,48,5,23,5
147,Bethel,147,257477,17.880347079200000,0,50,50,0.050101562469700,0.887207452665000,12900.000000000000000,45,0,34,0
148,Bexar,148,4365,0.303124997575000,0,63,63,40.366781214200003,20.745784613200001,176201.000000000000000,59,63,42,44
149,Bibb,149,3141,0.218124998255000,0,63,63,14.629417383000000,21.062184441500001,45951.000000000000000,60,0,24,5
150,Bienville,150,2970,0.206249998350000,0,55,55,2.698989898990000,5.661105321210000,8016.000000000000000,48,0,21,0
151,Big Horn,151,34825,2.418402758430000,0,55,55,0.824034458004000,3.329244272710000,28697.000000000000000,50,0,51,0
152,Big Stone,152,2260,0.156944443189000,0,56,56,3.228761061950000,6.571214059610000,7297.000000000000000,43,0,28,0
153,Billings,153,5145,0.357291663808000,0,25,25,2.853255587950000,4.487759141540000,14680.000000000000000,22,0,25,0
154,Bingham,154,8754,0.607916661803000,0,62,62,2.814142106470000,6.804497709610000,24635.000000000000000,57,0,46,0
155,Black Hawk,155,2337,0.162291665368000,6,63,57,21.732563115100000,17.924720775200001,50789.000000000000000,58,8,63,13
156,Blackford,156,667,0.046319444073900,0,52,52,9.994002998499999,9.297512686030000,6666.000000000000000,44,7,33,8
157,Bladen,157,3234,0.224583331537000,0,57,57,6.030921459490000,6.585879740200000,19504.000000000000000,46,0,36,6
158,Blaine,158,36701,2.548680535170000,0,49,49,0.582872401297000,3.097795635580000,21392.000000000000000,45,0,43,0
159,Blair,159,2082,0.144583332177000,0,62,62,16.966378482200000,15.393519578099999,35324.000000000000000,58,0,49,11
160,Blanco,160,2465,0.171180554186000,0,43,43,1.448681541580000,4.613489270770000,3571.000000000000000,34,0,27,0
161,Bland,161,1353,0.093958332581700,0,30,30,2.159645232820000,4.195298518560000,2922.000000000000000,20,0,19,0
162,Bleckley,162,784,0.054444444008900,0,59,59,6.737244897960000,9.455715287229999,5282.000000000000000,46,0,4,5
163,Bledsoe,163,1507,0.104652776941000,0,41,41,3.846715328470000,5.033108118550000,5797.000000000000000,31,0,26,5
164,Blount,164,4485,0.311458330842000,0,63,63,11.504124860599999,12.494504242800000,51596.000000000000000,61,7,54,8
165,Blue Earth,165,3214,0.223194442659000,0,63,63,9.498755444930000,11.126772668299999,30529.000000000000000,60,6,49,7
166,Boise,166,8012,0.556388884438000,0,36,36,0.883050424363000,2.811240415180000,7075.000000000000000,32,0,17,0
167,Bolivar,167,3290,0.228472220394000,0,60,60,3.859878419450000,8.472885484600001,12699.000000000000000,52,0,27,0
168,Bollinger,168,2340,0.162499998700000,0,38,38,1.950854700850000,3.832683796170000,4565.000000000000000,32,0,16,0
169,Bon Homme,169,2404,0.166944443109000,0,38,38,1.979617304490000,4.889715566650000,4759.000000000000000,33,0,32,0
170,Bond,170,1508,0.104722221384000,0,59,59,7.836206896550000,7.841201759220000,11817.000000000000000,50,5,4,6
171,Bonner,171,8750,0.607638884028000,0,56,56,2.478514285710000,5.411621998050000,21687.000000000000000,53,0,34,0
172,Bonneville,172,7883,0.547430551176000,0,63,63,4.365343143470000,11.504362231000000,34412.000000000000000,61,0,44,0
173,Boone,173,15783,1.096041657900000,0,63,63,12.097763416299999,14.635277745500000,190939.000000000000000,61,0,4,8
174,Borden,174,3201,0.222291664888000,0,17,17,0.196813495783000,1.313663982030000,630.000000000000000,13,0,13,0
175,Bosque,175,3555,0.246874998025000,0,42,42,1.574402250350000,3.997012618790000,5597.000000000000000,34,0,23,0
176,Bossier,176,3115,0.216319442714000,0,63,63,11.744141252000000,16.219631018099999,36583.000000000000000,61,0,48,6
177,Botetourt,177,2083,0.144652776621000,0,60,60,5.479116658670000,10.081136079100000,11413.000000000000000,55,0,34,0
178,Bottineau,178,7921,0.550069440044000,0,57,57,2.936624163620000,5.336335670700000,23261.000000000000000,48,0,30,0
179,Boulder,179,2946,0.204583331697000,0,63,63,16.566530889300001,20.799804329099999,48805.000000000000000,61,0,4,7
180,Boundary,180,5865,0.407291663408000,0,36,36,1.086786018760000,3.553580280170000,6374.000000000000000,34,0,28,0
181,Bourbon,181,3600,0.249999998000000,0,59,59,3.550000000000000,8.180277773060000,12780.000000000000000,56,0,24,0
182,Bowie,182,3316,0.230277775936000,0,63,63,9.819963811819999,14.920087883000001,32563.000000000000000,61,0,48,5
183,Bowman,183,5040,0.349999997200000,0,46,46,2.493055555560000,5.206371191250000,12565.000000000000000,38,0,29,0
184,Box Butte,184,4373,0.303680553126000,0,62,62,2.083695403610000,7.437972294280000,9112.000000000000000,57,0,32,0
185,Box Elder,185,27042,1.877916651640000,0,62,62,1.444271873380000,5.554480084530000,39056.000000000000000,60,0,59,0
186,Boyd,186,2829,0.196458331762000,0,61,61,6.578296217740000,14.074561679000000,18610.000000000000000,59,0,44,0
187,Boyle,187,695,0.048263888502800,0,62,62,13.106474820100001,15.153512823200000,9109.000000000000000,57,0,19,8
188,Bracken,188,807,0.056041666218300,0,28,28,3.459727385380000,4.633325908190000,2792.000000000000000,18,0,5,0
189,Bradford,189,5736,0.398333330147000,0,58,58,8.035390516040000,6.968171008560000,46091.000000000000000,55,6,58,7
190,Bradley,190,3586,0.249027775786000,0,63,63,7.724205242610000,13.987109025900001,27699.000000000000000,61,0,63,0
191,Branch,191,2070,0.143749998850000,0,59,59,8.912077294690000,10.228547671699999,18448.000000000000000,55,0,5,7
192,Brantley,192,1586,0.110138888008000,0,31,31,3.735813366960000,4.557071594100000,5925.000000000000000,24,0,25,5
193,Braxton,193,1994,0.138472221114000,0,40,40,2.173019057170000,5.108516912740000,4333.000000000000000,34,0,4,0
194,Brazoria,194,4973,0.345347219459000,0,63,63,17.964608888000001,17.879322503000001,89338.000000000000000,61,6,4,10
195,Brazos,195,2065,0.143402776631000,0,63,63,19.624697336600001,20.080806978999998,40525.000000000000000,60,0,49,11
196,Breathitt,196,1878,0.130416665623000,0,43,43,2.136315228970000,4.917698758190000,4012.000000000000000,37,0,16,0
197,Breckinridge,197,2227,0.154652776541000,0,45,45,4.016165244720000,5.232596962360000,8944.000000000000000,36,0,20,5
198,Bremer,198,1824,0.126666665653000,5,59,54,11.660087719300000,9.169375229400000,21268.000000000000000,53,7,45,8
199,Brevard,199,3673,0.255069442404000,0,63,63,22.811325891599999,21.759509306500000,83786.000000000000000,61,5,45,12
200,Brewster,200,21550,1.496527765810000,0,55,55,0.108399071926000,1.687359581070000,2336.000000000000000,42,0,12,0
201,Briscoe,201,3276,0.227499998180000,0,13,13,0.236263736264000,1.304300657040000,774.000000000000000,11,0,11,0
202,Bristol,202,2460,0.170833331967000,0,63,63,40.732520325199999,16.992442107300000,100202.000000000000000,60,60,0,45
203,Bristol Bay,203,3011,0.209097220549000,0,18,18,0.701095981402000,2.771311634910000,2111.000000000000000,14,0,6,0
204,Broadwater,204,5405,0.375347219219000,0,32,32,0.780573543016000,2.730705933950000,4219.000000000000000,29,0,18,0
205,Bronx,205,182,0.012638888787800,58,63,5,62.917582417600002,0.512287137589000,11451.000000000000000,5,63,58,63
206,Brooke,206,352,0.024444444248900,7,59,52,24.187500000000000,13.839340437700001,8514.000000000000000,53,11,38,20
207,Brookings,207,3402,0.236249998110000,0,63,63,7.500000000000000,10.189366626000000,25515.000000000000000,60,0,40,6
208,Brooks,208,4919,0.341597219489000,0,56,56,2.542793250660000,5.867146462070000,12508.000000000000000,51,0,20,0
209,Broome,209,2936,0.203888887258000,0,62,62,15.451975476799999,15.589300946500000,45367.000000000000000,59,6,52,9
210,Broomfield,210,137,0.009513888812780,25,63,38,58.124087591200002,9.598848209090001,7963.000000000000000,22,63,25,62
211,Broward,211,4166,0.289305553241000,0,63,63,26.788526164200000,27.431102063699999,111601.000000000000000,61,63,39,9
212,Brown,212,27365,1.900347207020000,0,63,63,6.100785675130000,11.917902418900001,166948.000000000000000,61,0,4,0
213,Brule,213,3536,0.245555553591000,0,53,53,1.365667420810000,5.282949608710000,4829.000000000000000,44,0,20,0
214,Brunswick,214,5285,0.367013885953000,0,62,62,11.335288552500000,13.138933519000000,59907.000000000000000,60,5,62,6
215,Bryan,215,5086,0.353194441619000,0,63,63,6.213134093590000,9.927964716589999,31600.000000000000000,61,0,47,5
216,Buchanan,216,5904,0.409999996720000,0,63,63,10.000338753399999,11.298787612500000,59042.000000000000000,60,6,50,7
217,Buckingham,217,2225,0.154513887653000,0,51,51,3.284494382020000,5.577036185060000,7308.000000000000000,42,0,29,0
218,Bucks,218,2452,0.170277776416000,9,63,54,41.989396411100003,19.065737188600000,102958.000000000000000,55,62,9,47
219,Buena Vista,219,2415,0.167708331992000,0,59,59,6.174327122150000,8.607849667190001,14911.000000000000000,55,0,34,5
