OBJECTID,NAME_2,ZONE_CODE,COUNT_nl,AREA_nl,MIN_nl,MAX_nl,RANGE_nl,MEAN_nl,STD_nl,SUM_nl,VARIETY_nl,MAJORITY_nl,MINORITY_nl,MEDIAN_nl,COUNT_P,AREA_p,MIN_pop,MAX_pop,RANGE_pop,MEAN_pop,STD_pop,SUM_pop
87,Bailey,87,3049,0.211736109,0,57,57,1.893735651,5.137581401,5774,42,0,18,0,34206,2137875000,0,175.4287872,175.4287872,0.216134445,3.558958951,7393.094834
88,Baker,88,16401,1.138958324,0,61,61,1.241204805,4.482130539,20357,58,0,31,0,167274,10454625000,0,613.744751,613.744751,0.289688563,4.555476613,48457.36461
89,Baldwin,89,6730,0.467361107,0,62,62,12.74472511,16.03288521,85772,60,0,4,7,79211,4950687500,0,657.8261719,657.8261719,3.154655089,13.07306613,249883.3843
90,Ballard,90,1035,0.071874999,0,50,50,7.666666667,6.890447073,7935,39,5,4,6,11366,710375000,0,120.9559784,120.9559784,0.717713555,4.173967245,8157.532265
91,Baltimore,91,2697,0.187291665,8,63,55,42.89692251,20.45030099,115693,56,63,8,51,28652,1790750000,0,3419.18457,3419.18457,49.64232543,108.0348788,1422351.908
92,Bamberg,92,1423,0.098819444,0,57,57,6.044975404,9.23508547,8602,52,0,22,5,16393,1024562500,0,234.9507904,234.9507904,0.94881812,5.94429999,15553.97544
93,Bandera,93,2777,0.192847221,0,42,42,2.333093266,4.925475899,6479,36,0,22,0,33285,2080312500,0,96.83872223,96.83872223,0.653045959,3.669563359,21736.63473
94,Banks,94,857,0.059513888,5,60,55,10.02567095,7.414029657,8592,42,7,26,7,9700,606250000,0,245.9274139,245.9274139,2.108215569,7.508415087,20449.69102
95,Banner,95,2952,0.204999998,0,6,6,0.030826558,0.408329095,91,4,0,4,0,30817,1926062500,0,14.19498348,14.19498348,0.020381404,0.260214561,628.0937314
96,Bannock,96,4715,0.327430553,0,63,63,5.240933192,11.52895106,24711,60,0,40,0,47685,2980312500,0,469.7312622,469.7312622,1.803107075,14.70192599,85981.16087
97,Baraga,97,4005,0.278124998,0,48,48,1.492634207,5.004193814,5978,42,0,29,0,38180,2386250000,0,444.0501404,444.0501404,0.230690403,3.677128349,8807.759581
98,Barber,98,4285,0.297569442,0,35,35,0.587864644,2.80897748,2519,29,0,22,0,46875,2929687500,0,107.0554962,107.0554962,0.097884579,1.786460066,4588.339659
99,Barbour,99,4525,0.314236109,0,60,60,3.717569061,7.569888783,16822,56,0,32,0,51689,3230562500,0,994.5490112,994.5490112,0.835483342,7.813979154,43185.29846
100,Barnes,100,6647,0.461597219,0,60,60,2.50157966,5.74768788,16628,53,0,24,0,62827,3926687500,0,211.175766,211.175766,0.169361478,2.958647976,10640.47358
101,Barnstable,101,1688,0.117222221,0,60,60,28.15876777,13.27876138,47532,57,27,58,28,16981,1061312500,0,1023.462341,1023.462341,12.35676907,21.2356761,209830.2956
102,Barnwell,102,2020,0.140277777,0,57,57,8.612871287,9.730763337,17398,53,0,53,6,23219,1451187500,0,164.8760986,164.8760986,0.946781194,5.480315148,21983.31253
103,Barren,103,1892,0.131388888,0,61,61,8.597780127,10.96763716,16267,58,6,34,6,20757,1297312500,0,261.8912354,261.8912354,2.11511585,9.501856355,43903.45969
104,Barron,104,3809,0.264513887,0,59,59,11.20950381,8.754143391,42697,55,7,53,8,36894,2305875000,0,236.9665222,236.9665222,1.243277863,6.718332457,45869.49349
105,Barrow,105,593,0.041180555,11,61,50,32.03541315,13.97542147,18997,51,18,11,30,6758,422375000,0,254.3478088,254.3478088,12.47079981,21.84529759,84277.66514
106,Barry,106,5397,0.374791664,0,59,59,7.488234204,7.082882398,40414,55,0,42,7,57038,3564875000,0,187.4385834,187.4385834,1.702714047,7.749146183,97119.40384
107,Bartholomew,107,1600,0.11111111,0,61,61,15.710625,14.62666699,25137,58,7,47,9,17034,1064625000,0,472.0206299,472.0206299,4.626715775,19.7238441,78811.47651
108,Barton,108,5692,0.395277775,0,62,62,3.210470836,7.796649729,18274,59,0,49,0,61840,3865000000,0,198.9556885,198.9556885,0.634732532,6.113040401,39251.85977
109,Bartow,109,1723,0.119652777,0,62,62,19.77132908,16.2265931,34066,59,7,56,12,19594,1224625000,0,306.2864075,306.2864075,5.819672442,17.95816266,114030.6618
110,Bastrop,110,3113,0.216180554,0,60,60,7.995181497,10.36870752,24889,56,0,37,6,37011,2313187500,0,647.8710327,647.8710327,2.214764166,12.2311239,81970.63653
